Year,Block,Ecotype,No_of_Flower,Flower_FW,Stigma_FW,Flower_DW,Stigma_DW,Stigma_length,Yield,Picrocrocin,Safranal,Crocin,Total_metabolites
2,1,Bahabad,16.250,223.539,21.202,34.359,4.100,20.000,59.222,120.600,39.600,210.900,371.100
2,1,Bajestan,21.250,260.200,23.800,37.600,4.500,26.000,85.000,124.800,42.000,185.100,351.900
2,1,Bardeskan,33.750,300.652,48.314,47.752,5.867,27.677,176.012,119.400,34.800,206.400,360.600
2,1,Estahbanat,15.750,255.746,32.269,39.151,4.341,24.411,60.774,123.600,41.400,204.600,369.600
2,1,Feizabad,30.500,316.708,28.779,44.124,5.399,27.367,146.362,126.300,39.600,228.600,394.500
2,1,Ferdows,29.750,234.078,22.422,41.396,5.248,27.250,138.776,98.400,27.000,174.900,300.300
2,1,Ghaien,50.500,297.077,26.796,43.760,5.350,26.843,240.156,122.100,37.200,208.800,368.100
2,1,Gonabad,18.250,387.343,37.548,50.448,6.452,30.188,104.669,135.300,49.200,217.500,402.000
2,1,Gorgan,30.250,261.625,21.400,40.828,6.170,27.625,124.444,119.400,39.000,198.600,357.000
2,1,Kalilabad,16.750,217.467,27.183,35.017,4.333,24.583,64.519,112.200,36.900,184.500,333.600
2,1,Kashmar,20.750,249.767,25.955,39.852,4.900,25.643,90.378,98.400,27.900,140.100,266.400
2,1,Natanz,32.500,252.738,47.769,40.500,8.559,26.646,247.259,117.400,38.400,197.400,353.200
2,1,Neishabour,15.750,209.567,18.067,36.733,4.700,25.333,65.800,144.800,49.000,204.200,398.000
2,1,Roshtkhar,29.250,297.224,45.522,45.842,5.791,27.767,150.567,106.200,34.800,141.300,282.300
2,1,Torbat-Heidarieh,36.750,297.181,26.128,42.933,5.284,26.579,172.597,135.600,43.200,207.300,386.100
2,1,Torbat-Jam,37.500,284.107,35.511,51.345,8.166,27.875,272.199,123.000,39.900,194.400,357.300
2,1,Zarand,22.500,274.950,25.033,40.017,5.000,25.400,100.000,114.000,36.300,187.800,338.100
2,1,Zaveh,26.250,290.243,25.391,38.814,4.894,25.027,114.200,133.200,48.000,127.800,309.000
2,2,Bahabad,15.000,194.859,18.568,32.073,4.291,23.000,57.212,117.000,37.800,197.100,351.900
