,Ecotype,1_1_Crocin,1_2_Crocin,1_3_Crocin,2_1_Crocin,2_2_Crocin,2_3_Crocin
0,Bahabad,204.0,194.6,152.0,210.9,197.1,201.0
1,Bajestan,161.2,116.4,123.2,185.1,177.3,185.7
2,Bardeskan,158.1,111.5,127.0,206.4,206.4,205.2
3,Estahbanat,148.0,130.0,122.0,204.6,204.9,205.2
4,Feizabad,147.2,135.6,85.2,228.6,227.7,222.17
5,Ferdows,155.0,106.6,130.8,174.9,179.4,174.3
6,Ghaien,229.6,189.8,209.7,208.8,200.7,209.75
7,Gonabad,128.8,119.0,123.9,217.5,189.9,208.2
8,Gorgan,170.8,112.0,126.4,198.6,204.9,201.3
9,Kalilabad,162.5,117.2,100.2,184.5,183.3,182.9
10,Kashmar,177.8,98.8,115.2,140.1,139.8,140.2
11,Natanz,128.0,104.4,88.0,197.4,130.6,174.0
12,Neishabour,185.6,148.0,145.08,204.2,133.8,182.0
13,Roshtkhar,158.0,113.0,129.6,141.3,148.8,142.05
14,Torbat-Heidarieh,168.0,93.0,127.4,207.3,198.3,197.6
15,Torbat-Jam,173.4,151.866,121.8,194.4,189.6,194.6
16,Zarand,143.0,96.4,120.4,187.8,197.1,195.45
17,Zaveh,200.4,150.3,133.644,127.8,127.8,126.8
