,Ecotype,1_1_No_of_Flower,1_2_No_of_Flower,1_3_No_of_Flower,2_1_No_of_Flower,2_2_No_of_Flower,2_3_No_of_Flower
0,Bahabad,12.667,12.0,9.333,16.25,15.0,15.25
1,Bajestan,7.778,8.889,12.889,21.25,28.25,20.0
2,Bardeskan,0.889,0.444,1.556,33.75,22.5,23.75
3,Estahbanat,1.556,2.0,1.778,15.75,16.25,14.5
4,Feizabad,16.889,8.0,5.111,30.5,35.25,32.75
5,Ferdows,2.889,3.556,1.778,29.75,26.0,27.75
6,Ghaien,8.667,5.333,2.0,50.5,52.5,53.5
7,Gonabad,1.778,1.556,2.0,18.25,15.5,15.75
8,Gorgan,47.778,52.444,50.667,30.25,25.0,22.5
9,Kalilabad,0.222,0.667,0.444,16.75,15.0,19.25
10,Kashmar,3.333,14.222,10.0,20.75,20.0,19.75
11,Natanz,4.889,2.0,3.556,32.5,35.25,38.5
12,Neishabour,7.111,6.667,10.667,15.75,15.0,15.75
13,Roshtkhar,4.444,7.333,7.333,29.25,20.0,22.5
14,Torbat-Heidarieh,11.333,26.667,16.0,36.75,31.0,40.0
15,Torbat-Jam,59.333,65.111,65.556,37.5,40.0,42.5
16,Zarand,17.556,10.889,13.778,22.5,30.75,21.25
17,Zaveh,9.333,11.333,7.556,26.25,37.25,28.5
