,Ecotype,1_1_Stigma_length,1_2_Stigma_length,1_3_Stigma_length,2_1_Stigma_length,2_2_Stigma_length,2_3_Stigma_length
0,Bahabad,26.517,26.467,27.408,20.0,23.0,24.875
1,Bajestan,24.057,29.37,26.592,26.0,27.865,24.75
2,Bardeskan,33.5,30.0,24.9,27.677,25.74,25.0
3,Estahbanat,23.5,26.16,26.075,24.411,26.0,27.6
4,Feizabad,29.736,29.267,22.978,27.367,26.797,26.667
5,Ferdows,28.75,28.667,24.875,27.25,25.827,23.34
6,Ghaien,28.88,27.688,29.4,26.843,26.996,26.849
7,Gonabad,27.083,29.333,28.0,30.188,28.095,29.141
8,Gorgan,30.188,28.711,26.622,27.625,26.714,24.179
9,Kalilabad,24.0,28.0,26.0,24.583,25.167,25.0
10,Kashmar,27.929,25.992,25.479,25.643,25.046,24.45
11,Natanz,28.38,26.8,29.189,26.646,29.245,28.941
12,Neishabour,27.222,26.894,26.844,25.333,25.86,24.5
13,Roshtkhar,30.727,28.254,26.114,27.767,24.714,26.0
14,Torbat-Heidarieh,31.177,27.925,29.804,26.579,25.169,27.053
15,Torbat-Jam,29.933,25.3,26.328,27.875,26.256,24.7
16,Zarand,24.26,29.0,26.568,25.4,28.135,25.78
17,Zaveh,26.57,27.873,26.522,25.027,26.129,26.244
