,Ecotype,No_of_Flower_2,Flower_FW_2,Stigma_FW_2,Flower_DW_2,Stigma_DW_2,Stigma_length_2,Yield_2,Picrocrocin_2,Safranal_2,Crocin_2,Total_metabolites_2
0,Bahabad,15.5,223.53866666666667,21.202,34.359,4.291,22.625,59.062666666666665,118.39999999999999,38.333333333333336,203.0,359.73333333333335
1,Bajestan,23.166666666666668,264.23466666666667,23.797666666666668,40.13400000000001,4.620666666666666,26.205,96.58933333333333,118.13333333333333,39.13333333333333,182.69999999999996,339.9666666666667
2,Bardeskan,26.666666666666668,280.2133333333333,36.06966666666667,43.48233333333334,5.502333333333333,26.139,131.64033333333333,119.63333333333334,34.84,206.0,360.47333333333336
3,Estahbanat,15.5,244.394,29.185999999999996,37.501000000000005,4.152,26.003666666666664,57.272,123.86666666666667,43.666666666666664,204.9,372.43333333333334
4,Feizabad,32.833333333333336,299.9626666666667,26.560000000000002,41.73266666666667,5.22,26.94366666666667,152.084,148.76666666666665,50.04999999999999,226.15666666666664,424.97333333333336
5,Ferdows,27.833333333333332,255.22966666666665,23.849,40.288666666666664,5.066666666666666,25.472333333333335,125.55066666666666,100.98333333333335,28.176666666666666,176.20000000000002,305.36
6,Ghaien,52.166666666666664,287.041,26.07766666666667,40.48833333333334,5.041666666666666,26.896,233.5596666666667,114.30666666666667,33.376666666666665,206.41666666666666,354.1000000000001
7,Gonabad,16.5,342.50499999999994,32.524,46.835,5.781666666666666,29.141333333333336,85.344,123.33999999999999,45.17333333333334,205.19999999999996,373.7133333333333
8,Gorgan,25.916666666666668,252.60166666666666,20.386,39.95333333333334,5.247000000000001,26.172666666666668,129.418,121.76666666666665,40.416666666666664,201.6,363.7833333333333
9,Kalilabad,17.0,253.26200000000003,24.378666666666664,39.23266666666667,4.808,24.916666666666668,73.33133333333335,110.09999999999998,35.14333333333333,183.5666666666667,328.81
10,Kashmar,20.166666666666668,269.1603333333333,22.590666666666664,39.85633333333333,5.386,25.046333333333333,96.40866666666666,103.33333333333333,32.443333333333335,140.03333333333333,275.80999999999995
11,Natanz,35.416666666666664,296.26666666666665,35.131,44.70733333333334,6.6626666666666665,28.277333333333335,207.47533333333334,103.09999999999998,34.333333333333336,167.33333333333334,304.7666666666667
12,Neishabour,15.5,232.28133333333335,20.87566666666667,36.727,4.525666666666667,25.230999999999998,62.425666666666665,120.2,40.13333333333333,173.33333333333334,333.6666666666667
13,Roshtkhar,23.916666666666668,285.758,30.517666666666667,40.68966666666666,5.109666666666667,26.16033333333333,110.41699999999999,112.23666666666666,37.580000000000005,144.05,293.8666666666667
14,Torbat-Heidarieh,35.916666666666664,275.461,23.55,41.34033333333334,5.050999999999999,26.267,162.36766666666668,133.26666666666668,43.166666666666664,201.0666666666667,377.5
15,Torbat-Jam,40.0,265.8286666666667,32.997,48.81966666666667,7.363666666666667,26.277,261.2203333333334,120.06666666666666,38.833333333333336,192.86666666666667,351.76666666666665
16,Zarand,24.833333333333332,265.3383333333333,23.56866666666667,38.878,4.798,26.438333333333333,107.01533333333334,117.66666666666667,37.53333333333334,193.44999999999996,348.6499999999999
17,Zaveh,30.666666666666668,265.29833333333335,23.463000000000005,39.68033333333334,5.018,25.8,137.12766666666667,127.78333333333332,44.04333333333333,127.46666666666665,299.29333333333335
